Habitability_Rank,P_NAME,P_RADIUS,P_MASS,P_DENSITY,P_TEMP_SURF,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_LUMINOSITY,S_METALLICITY,Predicted_Habitability_Probability,P_HABITABLE_BINARY
61,Kepler-62 e,-0.8030765941577929,-0.3901478958288023,2.8012371505367164,-1.2927952262240907,-0.051222029890990575,-0.0725073448340341,-0.5901307045364547,-0.7050581392023355,-2.09463995420043,0.8704348283139752,1
62,GJ 3323 c,-0.8617347186859498,-0.44802708878669123,0.8906012231653961,-1.5296777573189246,-0.2817728942663566,-0.39638971497474773,-2.332363208361752,-0.7956503198521166,-1.8956904976929627,0.8660171337103246,0
63,TRAPPIST-1 h,-0.9123020674171194,-0.4497279021149284,0.35453436566742347,-1.5296777573189246,-0.3430873838979688,-0.465896207648658,-2.332363208361752,-0.7956503198521166,0.16012055288420185,0.8656692525501374,0
64,K2-9 b,-0.6736241814059987,-0.442220271565033,-0.20560075070580647,-1.2538862029876459,-0.3439974084748068,-0.43453155097934276,-2.332363208361752,-0.7956503198521166,-1.7630575266879842,0.8506927261155394,1
65,Kepler-441 b,-0.7970085123100527,-0.4462747356606287,0.34899876796645046,-1.5175207397258683,0.1878170940345716,0.15699014299022412,-1.3858880552061914,-0.7668981621630913,-2.09463995420043,0.8427952030695378,0
66,GJ 667 C g,-0.726214224086415,-0.4440928842193547,-0.022812851342974498,-1.5296777573189246,0.3257063831595779,0.05894192049253638,-2.332363208361752,-0.7956503198521166,-2.09463995420043,0.8326289595429622,0
67,Kapteyn c,-0.6149660568778418,-0.4399697003933253,-0.3627419094115572,-1.5296777573189246,-0.053609018389973846,-0.19749189219372398,-2.332363208361752,-0.7956503198521166,-2.09463995420043,0.832039563094625,0
68,Kepler-452 b,-0.7990312062592995,-0.44634345539106246,0.35929949453944904,-1.2989074797027491,0.6880728706208804,0.5944360587491389,0.5416130830827266,-0.1920866671676743,1.2875008064265177,0.8189426165997215,1
69,HIP 38594 b,-0.5684440960451658,-0.4380799078063951,-0.4627588475565136,-1.2707569758682833,-0.22492347027947807,-0.25675180689012866,-1.7309882942915114,-0.7680349985900675,0.0274875818792235,0.8124439776196529,1
70,Kepler-1362 b,-0.6028298931823611,-0.43950584221289696,-0.39213007727582283,-1.2899685845268711,-0.012298314896529945,-0.034150018230543026,-0.6826289948707147,-0.6842442532120748,0.2927535238891802,0.7771364176019543,0
